u= [0 0 0 1 1 0 1 1 0 0 0 1 1 0 1 0 0 0 1 1 1 0]	 n=1 		 auc= 0.726190
u= [0 0 0 1 1 1 1 1 0 0 0 1 1 0 1 0 0 0 1 1 1 0]	 n=2 		 auc= 0.801587
u= [0 0 0 1 1 1 1 1 0 1 0 1 1 0 1 0 0 0 1 1 1 0]	 n=3 		 auc= 0.726190
u= [0 0 0 1 1 1 1 1 0 1 0 1 1 0 1 0 0 0 1 0	 n=]	 n=4 		 auc= 0.726190
u= [0 0 0 1 1 1 1 1 0 1 0 1 1 0 1 0 0 0 1 1 1 0]	 n=5 		 auc= 0.726190
u= [0 0 0 1 1 1 1 1 0 1 0 1 0 0 1 0 0 0 1 1 1 0]	 n=6 		 auc= 0.682540
u= [0 0 0 1 1 1 1 1 0 1 0 1 1 0 1 0 0 0 1 1 1 0]	 n=7 		 auc= 0.726190
u= [0 0 0 1 1 1 1 1 0 1 0 1 1 0 1 0 0 0 1 0 1 0]	 n=8 		 auc= 0.726190
u= [0 0 0 1 1 1 1 1 1 1 0 1 1 0 1 0 0 0 1 0 1 0]	 n=9 		 auc= 0.761905
u= [0 0 0 1 1 1 1 1 1 1 0 1 1 0 1 0 0 1 1 0 1 0]	 n=10 		 auc= 0.777778
u= [0 0 0 1 1 1 1 1 1 1 0 1 1 0 1 0 0 1 1 0 1 0]	 n=11 		 auc= 0.777778
u= [0 0 0 1 1 1 1 1 1 1 0 1 1 0 1 0 0 0 1 0 1 0]	 n=12 		 auc= 0.761905
u= [0 0 0 1 1 1 1 1 1 1 0 0 1 0 1 0 0 0 1 0 1 0]	 n=13 		 auc= 0.809524
u= [0 0 0 1 1 1 1 1 1 1 0 1 1 0 1 0 0 0 1 0 1 0]	 n=14 		 auc= 0.761905
u= [0 0 1 1 1 1 1 1 1 1 0 1 1 0 1 0 0 0 1 0 1 0]	 n=15 		 auc= 0.765873
u= [0 0 1 1 1 1 1 0 1 1 0 1 1 0 1 0 0 0 1 0 1 0]	 n=16 		 auc= 0.750000
u= [0 0 1 1 1 1 1 0 1 1 1 1 1 0 1 0 0 0 1 0 1 0]	 n=17 		 auc= 0.777778
u= [0 0 1 1 1 1 1 0 0 1 1 1 1 0 1 0 0 0 1 0 1 0]	 n=18 		 auc= 0.718254
u= [0 0 0 1 1 1 1 0 0 1 1 1 1 0 1 0 0 0 1 0 1 0]	 n=19 		 auc= 0.750000
u= [0 0 0 1 1 0 1 0 0 1 1 1 1 0 1 0 0 0 1 0 1 0]	 n=20 		 auc= 0.750000
u= [0 0 0 1 1 1 1 0 0 1 1 1 1 0 1 0 0 0 1 0 1 0]	 n=21 		 auc= 0.750000
u= [0 0 0 1 1 1 1 0 0 1 1 1 1 0 1 0 0 0 1 0 1 0]	 n=22 		 auc= 0.750000
